Sample	name 	passage	diff status	protocol	mount date
1	Condition1	p30	3D	PFA4%-wait	2018-11-20
2	Condition2	p23	3D	PFA4%-wait	2018-11-20
3	Condition1	p30	6D	PFA4%-fresh	2018-11-20
4	Condition2	p23	6D	PFA4%-fresh	2018-11-20
5	Condition1	p29	18D	MeOH	2018-11-28
6	Condition2	p22	18D	MeOH	2018-11-28
7	Condition1	p33	0D	PFA4%-fresh	2018-11-30
8	Condition1	p33	0D	PFA4%-fresh	2018-11-30
9	Condition1	p33	0D	PFA4%-fresh	2018-11-30
10	Condition1	p33	0D	PFA4%-fresh	2018-11-30
11	Condition2	p26	0D	PFA4%-fresh	2018-11-30
12	Condition2	p26	0D	PFA4%-fresh	2018-11-30
13	Condition2	p26	0D	PFA4%-fresh	2018-11-30
14	Condition2	p26	0D	PFA4%-fresh	2018-11-30
15	Condition3	p19	0D	PFA4%-fresh	2018-11-30
16	Condition3	p19	0D	PFA4%-fresh	2018-11-30
17	Condition3	p19	0D	PFA4%-fresh	2018-11-30
18	Condition3	p19	0D	PFA4%-fresh	2018-11-30
19	Condition1	p30	28D	PFA4%-fresh	2018-12-12
20	Condition1	p30	28D	PFA4%-fresh	2018-12-12
21	Condition1	p30	28D	PFA4%-fresh	2018-12-12
22	Condition1	p30	28D	PFA4%-fresh	2018-12-12
23	Condition1	p30	28D	PFA4%-fresh	2018-12-12
24	Condition1	p30	28D	PFA4%-fresh	2018-12-12
25	Condition1	p30	28D	PFA4%-fresh	2018-12-12
26	Condition1	p30	28D	PFA4%-fresh	2018-12-12
27	Condition1	p33	0D	PFA4%-wait	2018-12-12
28	Condition1	p33	8D	PFA4%-wait	2018-12-12
29	Condition1	p33	8D	PFA4%-wait	2018-12-12
30	Condition1	p33	8D	PFA4%-wait	2018-12-12
31	Condition1	p33	8D	PFA4%-wait	2018-12-12
32	Condition1	p33	8D	PFA4%-wait	2018-12-12
33	Condition2	p23	28D	PFA4%-fresh	2018-12-12
34	Condition2	p23	28D	PFA4%-fresh	2018-12-12
35	Condition2	p23	28D	PFA4%-fresh	2018-12-12
36	Condition2	p23	28D	PFA4%-fresh	2018-12-12
37	Condition2	p23	28D	PFA4%-fresh	2018-12-12
38	Condition2	p23	28D	PFA4%-fresh	2018-12-12
39	Condition2	p23	28D	PFA4%-fresh	2018-12-12
40	Condition2	p23	28D	PFA4%-fresh	2018-12-12
41	Condition2	p26	0D	PFA4%-wait	2018-12-12
42	Condition2	p26	8D	PFA4%-wait	2018-12-12
43	Condition2	p26	8D	PFA4%-wait	2018-12-12
44	Condition2	p26	8D	PFA4%-wait	2018-12-12
45	Condition2	p26	8D	PFA4%-wait	2018-12-12
46	Condition2	p26	8D	PFA4%-wait	2018-12-12
47	Condition3	p19	0D	PFA4%-wait	2018-12-12
48	Condition3	p19	8D	PFA4%-wait	2018-12-12
49	Condition3	p19	8D	PFA4%-wait	2018-12-12
50	Condition3	p19	8D	PFA4%-wait	2018-12-12
51	Condition3	p19	8D	PFA4%-wait	2018-12-12
52	Condition3	p19	8D	PFA4%-wait	2018-12-12
53	Condition1	p33	16D	PFA4%-wait	2018-12-20
54	Condition1	p33	16D	PFA4%-wait	2018-12-20
55	Condition1	p33	16D	PFA4%-wait	2018-12-20
56	Condition1	p33	16D	PFA4%-wait	2018-12-20
57	Condition1	p33	16D	PFA4%-wait	2018-12-20
